id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
56121,SUS,206,Economics and Sustainability,SBS+,LEC,90,3,TUTH,12:30 PM,1:23 PM,Young June Kwon
56120,SUS,206,Economics and Sustainability,SBS+,REC,R90,,RETH,3:30 PM,4:23 PM,Young June Kwon
55959,WAE,192,High Intermediate Writing,,LEC,90,3,MW,10:30 AM,11:50 AM,Hyun-ju Kim
55960,WAE,192,High Intermediate Writing,,LEC,91,3,MW,2:00 PM,3:20 PM,Hyun-ju Kim
56147,WAE,192,High Intermediate Writing,,LEC,92,3,MW,3:30 PM,4:50 PM,Hyun-ju Kim
56203,WAE,194,Advanced Writing Academic Eng,,LEC,90,3,MW,9:00 AM,10:20 AM,Josalyn Knapic
55961,WAE,194,Advanced Writing Academic Eng,,LEC,91,3,MW,10:30 AM,11:50 AM,Josalyn Knapic
55962,WAE,194,Advanced Writing Academic Eng,,LEC,92,3,MW,2:00 PM,3:20 PM,Josalyn Knapic
55997,WAE,194,Advanced Writing Academic Eng,,LEC,93,3,MW,3:30 PM,4:50 PM,Josalyn Knapic
56027,WAE,194,Advanced Writing Academic Eng,,LEC,94,3,TUTH,10:30 AM,11:50 AM,Rachel Ewing
55963,WRT,101,Introductory Writing Workshop,,LEC,90,3,MW,10:30 AM,11:50 AM,Andrew Schenck
55964,WRT,101,Introductory Writing Workshop,,LEC,91,3,TUTH,9:00 AM,10:20 AM,Andrew Lasher
55965,WRT,101,Introductory Writing Workshop,,LEC,92,3,TUTH,10:30 AM,11:50 AM,Andrew Lasher
56205,WRT,101,Introductory Writing Workshop,,LEC,93,3,TUTH,2:00 PM,3:20 PM,Andrew Lasher
56206,WRT,101,Introductory Writing Workshop,,LEC,94,3,TUTH,2:00 PM,3:20 PM,Timothy Fletcher
56083,WRT,101,Introductory Writing Workshop,,LEC,95,3,TUTH,3:30 PM,4:50 PM,Andrew Schenck
55966,WRT,102,Intermediate Writing Workshop,WRT,LEC,90,3,TUTH,9:00 AM,10:20 AM,Timothy Fletcher
55967,WRT,102,Intermediate Writing Workshop,WRT,LEC,91,3,TUTH,10:30 AM,11:50 AM,ALEXANDER GREVETT
55968,WRT,102,Intermediate Writing Workshop,WRT,LEC,92,3,TUTH,10:30 AM,11:50 AM,Timothy Fletcher
56075,WRT,102,Intermediate Writing Workshop,WRT,LEC,93,3,TUTH,2:00 PM,3:20 PM,Andrew Schenck
56085,WRT,102,Intermediate Writing Workshop,WRT,LEC,94,3,TUTH,2:00 PM,3:20 PM,ALEXANDER GREVETT
56119,WST,247,Sociology of Gender,DIV; SBS,LEC,90,3,F,3:00 PM,5:50 PM,Juhyun Woo
